courseName,courseDescription,courseNumber
Psychology of Women,"To Freud's question of ""What do women want?"" psychology has brought description, analysis, categorization and diagnosis in its effort to plumb the depths of woman's purported enigmatic nature. Parallel to psychology's mainstream versions are feminist writings exploring alternative views of psychological issues and life events. This course examines these parallel paths from early case studies of hysteria through to mid-century depictions of the ""problem with no name"" (Friedan) and to late 20th-century renderings of PMS, bodily dissatisfactions and eating disorders, and affect theories, such as happiness. The course uses history, theory and research in psychology to appreciate psychology's changing views, treatment and study of diverse lives. This course also counts toward the major in psychology. (Bayer)",WMST 247
Feminist Oral History,"Feminist oral history considers how women communicate and conceptualize their life stories, putting into practice a feminist commitment to recording womens life stories. This seminar operates as a workshop, investigating the theory underlying feminist oral history while putting the methodology to work through a class interviewing project. Through critical reading and practical experience, students research oral history questions and conduct interviews that are recorded using audio and video equipment. Furthermore, they develop the critical tools and analytical judgment needed to analyze the role of gender in oral history interviewing and prepare interviews to be deposited in an archive.",WMST 301
"Food, Feminism and Health","This class uses a feminist lens to explore a variety of topics arising at the intersection of food, health, and the body. The class addresses key material, epistemological, and methodological issues associated with food activism and intervention, and builds towards the enactment of student-led research projects. Class work includes both seminar discussion and participation in a lab section that is dedicated specifically to learning and practicing social science research methods aimed at food-based research and intervention. The seminar portion of the class will serve as a launching point for developing and carrying out individual, student-led research projects. Topics for the class include debates from both the production and consumption sides of the food chain, and take the health of both bodies and landscapes as a focal point. Among the list are: agricultural sustainability, genetically modified foods, local food activism, food security and hunger, nutrition and health policy, disordered eating, cooking as care work, and gender-based food marketing. Within these topics, issues of race and racism, class-based and cultural difference, and gendered food practices will be foregrounded.",WMST 305
Seminar: Reading Feminisms,"This course invites students to engage a signature feminist theory/history thinker's major work and to delve into it in some depth; signature works are those regarded as prompting a sea-change in ideas, thinking or ways of living. Students will be asked to situate the work in time, place and intellectual debate. They will be asked: What does a thinker's work look like across the span of their life's work and in the context of its field(s) of influence? With whom is this thinker's work in dialogue? How does one follow the journeys of a thinker's ideas? How does this author speak to us? Students will be asked to use one or more digital tools to engage questions and prompt wider discussion of the course topic.",WMST 306
Chicana and Latina Art,"What unique contributions to the multiple fields of artistic expression have Chicanas and Latinas made? What is the relationship between art and social justice? What is the relationship between social justice, spirituality, and identity? This course explores how Chicana and Latina artists have used a variety of artistic media as an expression of intersectional identity, a challenge to racist and/or masculinist culture, an enactment feminist politics, a catalyst for social change, a redefinition of community, and an articulation of decolonial consciousness. (Martin-Baron, <em>Fall, offered alternate years</em>)",WMST 308
Seminar: Stormy Weather Ecofeminism,"What is our relation with the earth? With animals, plants, water, technology, and air? With each other? With the wider universe? This course delves into the field of ecofeminism, a word first coined in 1974 by Francoi d'Eaubonne to signal the joining of two movements-environmentalism and feminism. Early feminists asked: Is the oppression of women linked to the oppression of earth Mother Nature? How do concepts of nature, gender and sexuality fashion our ways of living jointly, as ""companion species?"" Beginning with signature 1960s texts such as Rachel Carson's Silent Spring, this seminar tracks the stormy debates on environmentalism and feminism, including questions of oppression, environmental degradation, weather, and technologies of war as it seeks to chart new ways out of our current environmental conundrum. The seminar thus follows the affairs and entanglements of nature, science, and feminism in theory, research, film, literature, and everyday life. (Bayer)",WMST 309
Topics in Feminist Health,"This class focuses on a topic of current interest related to feminist health. Topics will be announced in advance. Possible topics include place and health, contaminated landscapes, the material/affective body, feminist nutrition, violence and displacement, and political ecologies of health. Readings will draw from a variety of fields, including feminist science studies, geography, public health, social theory, cultural studies, and more. The course may also count towards a minor in health professions.",WMST 362
Topics: Revelation or Revolution,"This course focuses on a topic of current interest. Topics are announced in advance and are addressed through history and theory in feminist social psychology. One topic is peace: students examine practices for peace and social justice through movements, writing, art, and film in the larger social and psychological context of humanity and quests for life lived in harmony and equality. Other topics include cyberpsychology; Cold War America and Cold War psychology; the psychology of the Women's movement; and history of psychology. This course also may count toward the major in psychology. (Bayer)",WMST 372
Senior Seminar,"Women's studies seniors produce a culminating project as they apply feminist theories and research methods, integrating their experiences as women's studies majors. Prerequisites: WMST 100 and WMST 300. (Spring, <em>offered annually</em>)",WMST 401
Independent Study,This course provides the opportunity for students to engage in practical involvements in topics/issues in womens studies as well as pursuing independent research under faculty supervision.,WMST 450
Grammar and Style,"Grammar and Style provides a foundational knowledge of traditional English grammar and investigates the relationship between grammar and style. Style, as a canon of rhetoric, depends on the conscious control of grammar through the choices every writer makes. Working together and individually, we study the rules of grammar, diagram sentences, complete exercises, take quizzes and exams, and write grammatical analyses  everything designed to make students grammatically savvy writers. (Forbes, Green, Werner, <em>offered </em><em>annually</em>)",WRRH 201
Introduction to Print Journalism,"This course introduces print journalism. It focuses on the basics of reporting and feature writing (business, sports, local government, and the law). Participants should expect to produce several pages of accurate, detailed, and well-written copy a week and be prepared for extensive and numerous revisions. Students also work on typography and layout. As the major project for the semester, students in teams write, edit, design, and typeset a newspaper. (Repeatable) (Forbes, Babbitt, <em>offered annually</em>)",WRRH 210
Feature Sports Writing,"Glenn Strout, series editor of Best American Sports Writing, argues that sports writing is more about people and what concerns uslove, death, desire, labor, and lossthan about the simple results of a game or competition. This course builds from the premise that sports writing offers readers and writers important ways of making sense of our worlds. Whether we are reading Roger Angell's description of a baseball, considering a one-eyed matador, watching a high school girls' softball team, or contemplating a one-armed quarterback, we immerse ourselves and our readers in making sense of the world. We explore such questions as, Why are sports so deeply imbedded in our culture? What are the ethics of sport? How do sports disenfranchise certain populations? To answer these and other questions, students keep journals, write weekly sports features, and produce a mid-term and final portfolio.",WRRH 219
Talk and Text: Introduction to Discourse,"This course investigates one of the fundamental theoretical ways language is studied today. Students study the theories of discourse analysis and practice those theories by analyzing spoken and written texts. Analysis of the various kinds of texts in our culturefrom interviews to courtroom testimony, from political speeches to radio and TV talk showsleads into discussions of conversational style, gender, linguistic stereotypes, and intracultural communication. (Dickinson, <em>offered annually</em>)",WRRH 250
Immigrant Experiences,"This intermediate writing course studies immigrant experiences in their local, national, and global contexts with a particular focus on discourses surrounding immigrant lives. The course examines the historical, political and linguistic aspects of immigration, such as ethnicity, culture, and cross-cultural divides. Students will complete rhetorical and linguistic analyses of immigration policies, immigrant discourses, and produce their own writing. (Staff, <em>offered alternate years</em>)",WRRH 280
"Black Talk, White Talk","What is BEV or Ebonics? Is it a language or a dialect? This course studies Black English Vernacular, also called Ebonics or Black street speech or Black talk (depending on the linguist): its sounds, structure, semantics, and history. It investigates the differences between black and white spoken discourse styles, which lead to tension and misunderstanding. It looks at written texts for the ways in which they reveal particular styles of spoken discourse. And it investigates the educational public policy issues surrounding Black English Vernacular. (Forbes, <em>offered alternate years</em>)",WRRH 284
Digital Journalism</strong><strong>: Reporting Online,"This course is designed as a stand-alone or a follow-up to WRRH 210, the introduction to print journalism. Students read two online newspapers daily, The New York Times and The Wall Street Journal, write and rewrite at least one story a week, learn the principles of writing for an internet audience, and design and publish their own blogs and online newspapers. There is a fee for this course. (Forbes, Babbitt, <em>offered </em><em>annually</em>)",WRRH 310
Introduction to Publishing,"This course focuses on the principles and practices of magazine and book publishing. It explores the way rhetoric functions in publishing and how ""gatekeeping"" functions in this industry of ideas and cultural influence: who decides what and who gets heard. The issues of gender, race, and class are central. Students study general interest and special interest magazine publishing; general trade book, academic or special interest book publishing; and the history of American publishing from the colonial era. Participants keep a reading journal; write several critical essays about the major issues in magazine and book publishing today; and complete a major semester-long project, individually or in teams (for instance, editing a book-length manuscript or producing a magazine). (Forbes, <em>offered alternate years</em>)",WRRH 311
The Science Beat,"This course is designed for students interested in writing about science, in science journalism, or in strengthening their research and writing skills. Students produce weekly articles, read and discuss articles by major science writers, and read and discuss each other's articles in a workshop. (Forbes)",WRRH 325
Literary Journalism,"Literary journalism blends factual reporting with narrative and stylistic strategies common in literature. Literary journalists are bound by many of the same standards as other reporters, but they have the additional goal, as Ben Yagoda puts it, of ""making facts dance."" The literary journalist might, therefore, suppress direct quotation - a staple of traditional journalism - in favor of scene and dialogue. Or, rather than withdrawing the writer's point of view to achieve objectivity, the story might foreground the reporter's voice and experiences. This course will explore specific ways in which journalism benefits from literary techniques. Our approach will be twofold: We will examine the genre historically, and we will critique student work during regular workshops. Although we will begin by identifying the genre's roots in the 18th and 19th centuries (including works by Defoe, Boswell, Dickens), we will spend the bulk of the semester steeped in 20th century and present-day practices. ""New Journalism"" (including works by Capote, Mailer, Didion, Thompson, Wolfe) will be a cornerstone of our study, as will today's cutting-edge practitioners (such as Coates, Beard, Rankine, and Wallace). Students will both emulate and resist these writers in their own work. (Babbitt)",WRRH 327
Beginning Spanish II,"The second part of the beginning sequence, this course increases the level of proficiency in the areas of comprehension, speaking, reading and writing, and it provides students with more ample knowledge of the multiple cultural aspects of the Spanish-speaking world. Beginning Spanish II, as well as the other courses in the beginning and intermediate levels, use a combination of three weekly master classes with the regular instructor and an additional hour of laboratory practice or the equivalent, using the multimedia materials accompanying the text. Completion of the beginning sequence or its equivalent is necessary for students who wish to advance to the intermediate level. Prerequisite: Span 101 or equivalent. (<em>Every semester</em>)",SPAN 102
Intermediate Spanish I,"This course is designed for students who have been placed in SPAN 121, or students who have completed SPAN 102, or SPAN 110. The course further develops the basic language skills acquired in the beginning sequence through the intensive study of grammatical structures, continued attention to oral and written communication, and an increased emphasis on reading comprehension. Cultural awareness is emphasized through an exposure to authentic materials from the diverse cultures of the Spanish-speaking world. Intermediate Spanish I, as well as the other courses in the beginning and intermediate levels, use a combination of three weekly master classes with the regular instructor and an additional hour of laboratory practice or the equivalent, using the multimedia materials accompanying the text. This course is the first part of the intermediate sequence; students who take Span 121 are highly advised to take Span 122 the following semester. Students who complete the intermediate sequence plus a minimum of one course at the 200-level will meet the language criteria to apply for the departments off-campus programs in Spain and Cost Rica. Prerequisite: SPAN 102 or placement in SPAN 121. (<em>Every semester</em>)",SPAN 121
Intermediate Spanish II,"The second part of the intermediate sequence, this course introduces the student to the more complex aspects of grammar, continues vocabulary build up, and emphasizes oral and written communication through discussion of authentic materials, situation dialogues, and the writing of short essays. Reading materials increase the students' ability to make connections between their own environment and the cultures of the Spanish-speaking world. Intermediate Spanish II, as well as the other courses in the beginning and intermediate levels, use a combination of three weekly master classes with the regular instructor and an additional hour of laboratory practice or the equivalent, using the multimedia materials accompanying the text. Students who complete the intermediate sequence plus a minimum of one course at the 200-level will meet the language criteria to apply for the departments off-campus programs in Spain and Costa Rica. Prerequisite: SPAN 21 or placement in SPAN 122. (<em>Every semester</em>)",SPAN 122
Spanish for Conversation and Debate,"This course focuses on the Spanish grammar acquisition process with a particular focus on listening comprehension and speaking. In addition to traditional grammar learning, students will refine their Spanish language skills by practicing oral expression. Aural comprehension, idiomatic usage, fluency, and language use in everyday situations will be emphasized. Prerequisite: Completion of SPAN 122, or the equivalent. (Travalia, <em>offered annually</em>)",SPAN 203
Hispanic Media: Contemporary Issues,"This course will develop students' cultural awareness through a series of written assignments organized around major journalistic and academic genres. We will investigate contemporary issues as presented in the media of Spain, Latin America and U.S. Latino communities. More specifically the course will explore such topics as immigration and multiculturalism, gender and sexuality, linguistic variety of the Spanish language, and issues of cultural identity among others. The Internet, printed, audio and visual media material will provide the foundation for class discussions, oral presentations, cultural projects and other activities. Critical readings will complement the material and provide a broader understanding of contemporary cultural realities on both sides of the Atlantic. Prerequisite: Completion of SPAN 122, or the equivalent. (Rodriguez-Mansilla, <em>offered annually</em>)",SPAN 225
The Art of Translation,"A situational approach to translation, this course focuses on Spanish in everyday situations. Class activities include role-playing, skits, writing assignments, and translations. Students explore the use of Spanish in fields such as business, health care, social services and education. Emphasis is placed on vocabulary and contrastive analysis of English and Spanish grammar. This course is recommended for bilingual students, students who intend to teach Spanish to English-speakers or English to Spanish-speakers, as well as students who intend to use Spanish in a professional field. Prerequisite: Completion of SPAN 122, or the equivalent. (Travalia, <em>offered annually</em>)",SPAN 231
Spanish Writing Workshop,"This course focuses on Spanish grammar and writing. Class activities will examine challenging aspects of Spanish, while emphasizing the importance of context. Students will refine their language skills writing different types of compositions, including academic, administrative, journalistic and literary. Reading comprehension and use of idiomatic language are also important aspects of the course. Prerequisite: Completion of SPAN 122, or the equivalent. (Rodriguez-Mansilla, <em>offered annually</em>)",SPAN 260
Democracy and Public Policy,"This course examines the American policy process by interrogating a number of domestic policy issues, affirmative action, poverty and welfare, HIV/AIDS, health care, labor/workplace, education, community development, and environmental concerns. Students examine all of these issues from various perspectives, including the modern conservative, modern liberal, and radical/democratic socialist, with particular attention to the role of the federal government in the policy process. Students have the opportunity to confront their own roles within the American policy process from a critical perspective. Students discuss, too, the role of the policy analyst in a democratic society and consider the interdisciplinary nature of public policy analysis. (Rimmerman, <em>offered annually</em>)",PPOL 101
Sexual Minority Movements and Public Policy,"This course explores the rise of the lesbian, gay, bisexual, and transgendered movements from both contemporary and historical perspectives. The course addresses the sources of these movements, the barriers that they have faced, and how they have mobilized to overcome these barriers. Students devote considerable attention to the response of the Christian Right to the policy issues that are a focus of this courseHIV/AIDS, same-sex marriage, integration of the military, education in the schools, and workplace discrimination. Finally, students address how the media and popular culture represent the many issues growing out of this course (Rimmerman, <em>offered alternate years</em>)",PPOL 219
Environmental Policy,"This course assesses the capability of the American policy process to respond to energy and environmental concerns in both the short and long term. It examines the nature of the problem in light of recent research on global warming, pollution and acid rain, solid waste management, and deforestation. Students interrogate the values of a liberal capitalist society as they pertain to our environmental problematic from a number of perspectives: modern conservative, modern liberal, democratic socialist/radical, ecofeminist, and doomsday perspectives. Students evaluate which perspective or combination of perspectives offers the most coherent and rigorous response to the policy and moral and ethical issues growing out of this course. Students assess the development and accomplishments of the environmental movement over time. The goal is to evaluate how the American policy process works in light of one of the most significant public policy issues of our time. (Rimmerman, <em>offered alternate years</em>)",PPOL 328
Social Policy and Community Activism,"This is a course about social policy and community participation and activism; it is also a course about democracy, community, education, and difference. All students are required to be fully engaged in a semester-long community activism/service project. Students have an opportunity to reflect upon how their participation in the community influences their own lives, their perspectives on democracy, and their understanding of democratic citizenship. In addition, students examine contemporary social policy issuesHIV/AIDS, health care, affirmative action, welfare, and education policies from a number of ideological perspectives and from the perspective of how these issues are played out on our campus and in the Geneva, N.Y., communities. (Rimmerman, <em>offered alternate years</em>)",PPOL 364
Sound Design for Theatre,"Sound Design for Theatre is lecture/laboratory course that will provide an introduction to fundamental concepts of acoustics, sound reproduction and reinforcement.  Students will study essential elements of sound design as it applies to theatre including script analysis, creating sound plots, obtaining and creating sound elements, show control, and operating intercom systems.  Students will apply what they have learned in the course to develop a final portfolio project to be presented in class.",THTR 361
Playwriting Workshop,"This course is designed to further the understanding of the craft of playwriting as it is first discovered in the playwriting process workshop. Students are encouraged to nurture the development of their skills through daily writing exercises, to develop a personal and consistent process for writing, to shake up any preconceived notions about playwriting, to explore a personal point of view or voice for their writing, to develop and sharpen their skills in analysis and critique, to test the flexibility of creative thought necessary for the crafting of dramatic literature, and to complete a short one-act play by the end of the semester. Prerequisite: THTR 130. (Staff, <em>offered occasionally</em>)",THTR 370
Writing About Performance,"Insatiable Curiosity. A Point of View. Stamina. The Ability to Write. In 2010, Michael Billington, theatre critic for Londons Guardian newspaper asserted that these were the necessary attributes required of anyone wanting to write theatre criticism. But what does it mean to write about performance in an era when print journalism is waning and the profession of the theatre critic is disappearing? HOW do we write about performance? In what ways might writing about performance reflect and/or shape the position of theatre within our culture? This course will explore traditional theatre criticism and its inherent challenges of description, interpretation, and evaluation. The course will move beyond this mode of writing, however, in order to explore the intersection of performance writing with cultural studies, archival research, and dramaturgy. Students will complete a portfolio of writing in response to local, regional, and recorded performances. (Woodworth, <em>Spring, offered every three years</em>)",THTR 424
Directing,"This is the study of the fundamental skills and collaborative processes needed to direct a piece of live theatre, including blocking, script analysis, research methods, approaches to casting, and rehearsal techniques and structures. This course gives students experience in many aspects of the directing process including: script analysis, research, blocking, working with actors, and shaping a production, as well as an understanding of how to collaborate with designers, cast a production, work with stage managers and production teams, and navigate the professional process. This course will also teach directors the valuable lessons of receiving and incorporating criticism and feedback, and experience analyzing the work of others. Prerequisite: THTR 100 or 130. (May, <em>Fall, offered alternate years</em>)",THTR 480
Senior Capstone,"The Senior Capstone synthesizes the cumulative knowledge that students have amassed in the discipline through a focus on contemporary performance trends and developments in order to help them define the nature of their desired future engagement in the field. Students will research contemporary theatre companies and practitioners, critics and visionaries, producing agencies, funding institutions, and other relevant organizations in order to learn about the theatrical community that awaits them. Students will draw upon this research to develop a portfolio of their work, giving consideration to the ways in which they wish to present themselves as theatre artists and patrons to the world beyond HWS. Finally, students will work together as artist/scholars to create a collaborative project that best reflects their strengths as a cohort and the message they wish to share with the HWS community. Prerequisite: Senior Status and Theatre Major. (May, <em>Fall, offered every year</em>)",THTR 490
Theatre Production,"This course is a studio-based course on the art and craft of producing theatre. It is open to all students who are cast in, or are part of the production team (which may include actors, designers, stage managers, production crew, etc.) for, a faculty directed production. Students will acquire first hand experience with the process of mounting a play on stage. Students will be involved, as appropriate given their part in the play, in any and all aspects of the production process including auditions, rehearsals, production meetings, set construction, and performances. This is a half credit course which may be taken only once a semester but which may be repeated up to four times. This course must be taken credit/no credit. Prerequisite: consent of instructor. (Hatch, May, Woodworth, <em>offered each semester</em>)",THTR 900
America Through Russian,"Eyes How do you define America? Does your definition mesh with what the rest of the world might think? This course explores American culture and identify through readings and films by American and Russian poets, novelists, and directors. From Red scares through the Cold War and Evil Empire all the way to the New Russians, twentieth-and twenty-first-century Americans and Russians have shared a deep mutual fascination, and have often defined themselves via contrast with the forbidding, alluring Other. We will study travelogues, memoirs, novels, stories, and films by artists as diverse as John Steinbeck, Langston Hughes, Gary Shteyngart, Ellen Litman, and Aleksei Balabanov, using these works to refine our own understanding of American culture. All readings and discussions will be in English. Register for either AMST 206 (prerequisite: AMST 100 or AMST 101) or RUSE 206 (prerequisite: RUSE 112 or HIST 263).",RUSE 206
Fantastika: Sci-Fi and Fantasy,"Science fiction and fantasy are a cornerstone of Russian culture. During the Soviet push toward modernization, airplane, rocket ships, and extraterrestrial beings inspired audiences to reach ""ever higher."" The tradition first surfaced in Russia much earlier, with connections to the fantastical tales of 19th-century giants Pushkin and Gogol; it is enjoying a popular resurgence today, in the post-Soviet period. This course presents an overview of Russian science fiction and fantasy literature. We will explore how science fiction and fantasy relate to the Russian cultural and historical context, and how they portray an ideological stance. We will study the genre's origins in socialist utopian philosophy, its flowering during the early twentieth century, and its recent reawakening since the collapse of the Soviet Union. Key questions include how technological advancement challenges social norms; how science and fantasy relate to spiritual life; how technological Utopias come into being; and how technological Utopias can become dystopias. We will study stories, films, and novels from the 19th century through the present day, with special emphasis on science fiction in the Soviet period. All materials and discussions will be in English. There are no prerequisites.",RUSE 208
"Dead Russians, Big Books","(In translation) Nineteenth century Russian writers recorded ""the body and pressure of time"" and mapped the human heart, exploring relationships between men and women, sexuality, issues of good and evil, and the alienated individual's search for meaning in the modern world. In brilliant, yet deliberately accessible work, prose writers recorded the conflict and struggle of their distinctively Russian cultural tradition, with its own understanding of ideas about religion, freedom, and the self, and its own attitudes toward culture, historical, and social order. Open to students of all levels. (<em>Offered occasionally</em>)",RUSE 350
Capstone Seminar,"Designed for advanced majors and minors in Russian Area Studies (both the History &amp; Society and Language &amp; Culture tracks), this seminar provides a capstone experience. The seminar will engage students in current scholarship across the disciplines of Russian Area Studies and enhance student approach to research. Each seminar will be based upon fictional (novels, stories, plays, films) and non-fictional (memoirs, speeches, newspapers, journals, documents) works relating to a central theme, which will change from year to year. The seminar will explore a variety of approaches to the theme, with special attention to the sub-fields of greatest interest to class members. Other Russian Area Studies faculty will be invited to lead a session of the seminar, giving participants immediate access to a variety of disciplinary approaches (political science, economics, history, Musicology, literary criticism) to the theme. Students will identify, assign, and lead discussions of critical and contextual sources, and will develop and complete a research paper. In addition to discussing our key texts, we will devote class time to critiquing current scholarship, developing research methods, articulating a research project, workshopping/revising the seminar paper, and honing presentation skills. Potential themes include: Soviet culture and society during the Second World War; Russia in transition; Man and nature in Russia; the soldier in the Russian imagination; Petersburg; Moscow; Petersburg vs. Odessa.",RUSE 460
Small Press Book Publishing: Book Contest and Acquisitions Editing,"In this course, students will help publish a book.  We will focus on small press acquisitions editing through the facilitation of Seneca Review's first biennial Deborah Tall Lyric Essay Book Contest.  The editors of Seneca Review will have narrowed down manuscript submissions to approximately 15 semi-finalists.  Over the course of the semester, students will have the opportunity both to learn about and to engage in the acquisitions editorial process by reading, discussing, and evaluating each of the semi-finalist manuscripts and by ultimately helping select five finalists.  The TRIAS resident will meet with the class several times and serve as the contest judge.  Students will work in small groups to pitch one of  the finalist manuscripts to the judge.  By engaging in the book publishing and acquisitions process, students will grapple with such questions as:  How do lyric essays and hybrid texts work in conjunction with one another in a book-length manuscript?  What makes a creative manuscript good and how do we weigh it against competing manuscripts with different strengths?  And how can we distinguish between manuscripts that cross the threshold into the realm of literary excellence and those that do not?",ENG 324
The Lyric Essay,"HWS is the birthplace of the lyric essay. It was in the introduction to the Fall 1997 issue of Seneca Review that esteemed HWS professor Deborah Tall and Hobart alumnus John DAgata gave the lyric essay its most seminal and enduring definition, which begins by characterizing the new hybrid form as ""a fascinating sub-genre that straddles the essay and the lyric poem give[s] primacy to artfulness over the conveying of information [and] forsake[s] narrative line, discursive logic, and the art of persuasion in favor of idiosyncratic meditation."" We will begin our course examining the essays of Tall, DAgata, and writers published in Seneca Review. And in order to gain an appreciation of the lyric essay as an inherently innovative, ever-evolving, genre-busting art form, we will proceed to study a wide range of essayists. To enrich our on-going discussion, we will also occasionally incorporate key progenitors such as Montaigne and theorists such as Deleuze &amp; Guattari, Derrida, and Wittgenstein. Students will both create their own lyric essays and respond critically to each others creative work in regularly held workshops. ",WRRH 329
New Media Writing,"New media technologies are currently exploding writing possibilities in thrilling multimodal, multimedia, and multidisciplinary ways. This course will explore new media writing through theory and practice in literature, creative writing, and journalism. Throughout the semester we will build a firm theoretical foundation in theories of new media and technology (through writers such as Heidegger, Baudrillard, and Haraway). To complement our theoretical inquiry, we will study new media works in genres such as journalism, literature, and art (including work by Strickland, and Goldsmith and the Nieman Storyboard), as well as some criticism responding to those works and their methods. Major assignments will include academic blogs responding to assigned materials, a video essay, an audio collage, a multimedia online document, and the curation of a creative Tumblr series. Students will respond critically to each other's new media projects in regularly held workshops. (Babbitt)",WRRH 330
Digital Rhe</strong><strong>toric and Writing with New Technologies,"Digital Rhetorics analyzes the rhetorical and cultural impacts of established and emerging new media artifacts from YouTube videos and Instagram posts to viral memes. Students produce content for digital platforms (blogs, digital portfolios, memes, etc.) while building an understanding of how rhetorical history and technological innovations impact the consumption of online content and the communities that are formed in digital space. Although the course discusses the importance of digital literacy and how to use some online programs and newer technologies, the class concentrates on how new media and virtual interfaces impact our global culture and the individual user. Students have the opportunity to develop analytical and creative skills through a diverse set of writing (and design layout) assignments. These new digital writing and design skills will be utilized and valued as students complete a service-learning component for the course with a local non-profit organization. (Ristow, <em>offered alternate years</em>)",WRRH 333
Voces De Mujeres,"Voces de mujeres explores the strategies used by modern female writers and artists to express themselves, comment on the condition of women, and foster feminist social change in Spain and Latin America. Class discussions will include issues of race, class, gender, and nation building. Additionally, the course will consider the ways in which female authors challenge traditional literary criticism and re-define terms like ""woman,"" ""gender,"" and ""feminist."" Prerequisite: two courses from level II, or equivalent. (Farnsworth, <em>offered alternate years</em>)",SPAN 316
Cuentos De America Latina,"Against a background of contemporary theory on the genre, the course examines this ancestral drive to tell a story in its multifaceted manifestation in Latin America. Moving from the forms of the oral tradition (ancdota, chiste, cuento popular) to the popularly rooted stories of Bosch, Rulfo and Allende, to the metaphysical games of Borges and Cortzar, and from the Amazon to the urban centers, from the Andes to the Caribbean, the course ends with an examination of the multi functionality of feminine voices in the present generation of women storytellers. Students sharpen their receptivity as listeners and readers as well as exercise their skills as inventors and narrators. Prerequisite: two courses from level II, or equivalent. (Paiewonsky-Conde, <em>offered alternate years</em>)",SPAN 321
Literatura infantil,"This course is an introduction to the rich tradition of children's literature in Spanish. Students will examine literary works from various Spanish-speaking countries, including Latino writers from the US, and time periods, paying particular attention to the colloquial language and cultural elements of each text. Consideration will be given to the young characters' view of the world and how issues like class, gender and identity influence that view. In addition to analyzing literary works, students will have the opportunity to write their own children's story in Spanish or otherwise contribute to the creative process (by editing, drawing illustrations, etc.). Additionally, students will work on literary projects that engage the Spanish-speaking community in Geneva, especially the youth. This course is highly recommended for students interested in bilingual education, community outreach, and/or creative writing. Prerequisite: two courses from level III, or equivalent. (Travalia, <em>offered occasionally</em>)",SPAN 332
Spanish Cinema,"In this course we will study the production of a selected group of Spanish filmmakers from Bunuel to the present. Through film screenings, class discussions, and readings on film theory, film history, and Spanish culture, we will trace the evolution of Spanish cinema through Franco's military dictatorship and under the new democratic system. Themes of exile and censorship, gender and sexuality, religion and nationality, among others, will be explored in the context of film history, Spanish society, and in relation to other artistic manifestations of Spanish culture. By the end of the course, students will be able to demonstrate knowledge of contemporary Spanish history as represented in its cinema, as well as an understanding of a variety of themes that are both unique to Spanish society and universal to the human condition. (Liebana, <em>offered alternate years</em>)",SPAN 340
Rutas literarias de Espana,"This course focuses on key moments in the development of Spanish Peninsular Literature from the Middle Ages to the (post) modern period. Through the analysis of poems, short stories, essays and other historical and experimental genres, this class seeks to explain and exemplify essential themes of the Spanish literary tradition: race and ethnicity; nation, Empire, and foreign influence; cultural customs and the appraisal of modernity; gender issues and the reflection on literature, individuality and artistic language. Prerequisite: two courses from level II, or equivalent. (Rodriguez-Mansilla, <em>offered alternate years</em>)",SPAN 344
Latin American Literary Frontiers,"This is a survey of Latin American literature from the conquest to the twentieth century. The course covers a broad range of literary developments in Latin America including ancient indigenous literature and colonial chronicles, texts from the era of independence and romanticism, modernist and avant-garde poetry, and contemporary theatre and narrative. Class discussions examine the general characteristics of major literary movements as well as the particular cultural, social, and political messages of each text. Prerequisite: two courses from level II, or equivalent. (Farnsworth, <em>offered occasionally</em>)",SPAN 345
Contemporary Theater,"This class will examine theater from Latin America, Spain, and the Latino population in the US. We will study the diverse methods that playwrights in these regions have developed to reflect and to critique the political and social climates in which they live; we will also discuss the role that theater plays in community-building, identity politics, and political activism. Dramatic practices such as metatheater, theater of cruelty, Brechtian techniques, and feminist drama will be discussed throughout the semester. Prerequisites: Prerequisite: two courses from level III, or the equivalent. (Farnsworth, <em>offered occasionally</em>)",SPAN 355
Journeys and Stories,"What does it mean to live a myth or story with one's life or to go on a pilgrimage? How are myths and voyages religious, and can storytelling and journeying be meaningful in our contemporary situation? This course begins by focusing on the journeys and stories found within traditional religious frameworks. It then turns to the contemporary world and asks whether modern individuals in light of the rise of secularism and the technological age can live the old stories or must they become non-religious, or religious in a new manner. (Anwar, <em>offered alternate years</em>)",REL 103
Writing Colleagues Seminar,"This rigorous and writing intensive course is designed for students who plan to work in the Writing Colleagues Program. The course contains unique, challenging writing assignments while examining current theories of composition and rhetoric. Students read and discuss scholarship pertaining to linguistic diversity, multilingual writers, and the emerging scholarship on curriculum-based peer tutors. Students investigate writing as a process and discuss the ways reading impacts and remains interdependent to writing. In addition, students have the opportunity to train and practice techniques and new skills as Writing Colleagues with their peers and within a five-week practicum component, usually with students enrolled in an introductory level writing course. Prerequisites: First-year students and sophomores are accepted following nomination, application, and an interview process. (Dickinson, Ristow, <em>offered each semester</em>)",WRRH 335
Discourses of Rape in Contemporary Culture,"An examination of the many ways our culture talks about rape, from political rape to date rape; the changing definitions of rape; rape as metaphor; and the social, political, and ethical implications of such discourses. How does the news media cover rape? How does the entertainment industry portray rape? Issues of power and powerlessness, victims and victimization, and privacy and the public good emerge. (Forbes, <em>offered alternate years</em>)",WRRH 375
